prediction,superior,inferior
13.75,28.90239808795711,-1.4023980879571099
13.77643749157053,28.92883557952764,-1.3759605963865802
12.32985525413712,27.482253342094232,-2.8225428338199894
10.745156841802453,25.897554929759565,-4.407241246154657
11.109162111051635,26.261560199008745,-4.043235976905475
10.200714000436566,25.353112088393676,-4.951684087520544
11.130608937623206,26.283007025580318,-4.021789150333904
10.278943091559519,25.43134117951663,-4.873454996397591
7.937879140257488,23.090277228214596,-7.214518947699622
9.006972035611449,24.159370123568557,-6.145426052345661
8.102521836861834,23.254919924818942,-7.0498762510952755
8.548323484924005,23.700721572881115,-6.604074603033105
7.672905993185987,22.825304081143095,-7.479492094771123
8.475165786166047,23.627563874123155,-6.677232301791063
8.294389476111627,23.446787564068735,-6.858008611845483
7.832616823372549,22.985014911329657,-7.319781264584561
8.459672930848777,23.612071018805885,-6.692725157108333
8.047902974810434,23.200301062767544,-7.104495113146676
7.79123611194416,22.94363419990127,-7.36116197601295
7.813283537283104,22.965681625240215,-7.339114550674005
7.928783401371208,23.08118148932832,-7.2236146865859014
7.571876475328002,22.724274563285114,-7.5805216126291075
7.146848567517979,22.299246655475088,-8.005549520439132
7.482805054740645,22.635203142697755,-7.669593033216465
8.466315789022143,23.618713876979253,-6.686082298934966
8.01243008856706,23.164828176524168,-7.13996799939005
7.391750813451045,22.544148901408157,-7.760647274506065
7.405187285170975,22.557585373128084,-7.747210802786135
7.153331292533553,22.30572938049066,-7.999066795423557
6.292511032379376,21.444909120336487,-8.859887055577733
5.364165035099641,20.516563123056752,-9.788233052857468
6.341094250295621,21.49349233825273,-8.81130383766149
6.316525986678479,21.468924074635588,-8.835872101278632
6.495874078022612,21.648272165979723,-8.656524009934497
5.7489828888216925,20.901380976778803,-9.403415199135416
4.289271949992331,19.441670037949443,-10.863126137964779
5.205307151940237,20.357705239897346,-9.947090936016874
4.498113217623143,19.650511305580252,-10.654284870333967
4.7315366026678385,19.883934690624947,-10.420861485289272
5.225390044567967,20.377788132525076,-9.927008043389144
4.013265660924218,19.16566374888133,-11.13913242703289
4.376420887314673,19.528818975271783,-10.775977200642437
3.713173587906675,18.865571675863784,-11.439224500050434
3.784377230747016,18.936775318704125,-11.368020857210094
5.742002529717178,20.894400617674286,-9.410395558239932
4.053283771949262,19.20568185990637,-11.099114316007848
5.475719236484597,20.628117324441707,-9.676678851472513
5.649159757204545,20.801557845161653,-9.503238330752565
5.722522394751254,20.87492048270836,-9.429875693205856
7.143242186059631,22.29564027401674,-8.00915590189748
8.424101288099468,23.576499376056578,-6.728296799857642
8.896539558097503,24.04893764605461,-6.255858529859607
8.700089750625894,23.852487838583002,-6.452308337331216
9.430546135212833,24.582944223169942,-5.721851952744277
10.363269720427693,25.515667808384805,-4.7891283675294165
11.707810359080218,26.86020844703733,-3.4445877288768916
12.62017891666663,27.77257700462374,-2.53221917129048
12.042104586061976,27.194502674019084,-3.110293501895134
13.697230021088775,28.849628109045884,-1.4551680668683353
14.916982060392586,30.069380148349694,-0.23541602756452384
